id,title,content,difficulty
136,FindTheWinnerOfTheCircularGame,"There are n friends that are playing a game. The friends are sitting in a circle and are numberedfrom 1 to n in clockwise order. More formally, moving clockwise from the i^th friend brings you tothe (i+1)^th friend for 1 <= i < n, and moving clockwise from the n^th friend brings you to the1^st friend.
 The rules of the game are as follows:
 Start at the 1^st friend.Count the next k friends in the clockwise direction including the friend you started at.The counting wraps around the circle and may count some friends more than once.The last friend you counted leaves the circle and loses the game.If there is still more than one friend in the circle, go back to step 2 starting from thefriend immediately clockwise of the friend who just lost and repeat.Else, the last friend in the circle wins the game.
 Given the number of friends, n, and an integer k, return the winner of the game.
 Example 1:
 Input: n = 5, k = 2Output: 3Explanation: Here are the steps of the game:1) Start at friend 1.2) Count 2 friends clockwise, which are friends 1 and 2.3) Friend 2 leaves the circle. Next start is friend 3.4) Count 2 friends clockwise, which are friends 3 and 4.5) Friend 4 leaves the circle. Next start is friend 5.6) Count 2 friends clockwise, which are friends 5 and 1.7) Friend 1 leaves the circle. Next start is friend 3.8) Count 2 friends clockwise, which are friends 3 and 5.9) Friend 5 leaves the circle. Only friend 3 is left, so they are the winner.
 Example 2:
 Input: n = 6, k = 5Output: 1Explanation: The friends leave in this order: 5, 4, 6, 2, 3. The winner is friend 1.
 Constraints:
 1 <= k <= n <= 500",0
137,FindValidMatrixGivenRowAndColumnSums,"You are given two arrays rowSum and colSum of non-negative integers where rowSum[i] is the sumof the elements in the ith row and colSum[j] is the sum of the elements of the jth column of a 2D matrix.In other words, you do not know the elements of the matrix, but you do know the sums of each row and column.
 Find any matrix of non-negative integers of size rowSum.length x colSum.length that satisfies the rowSum andcolSum requirements.
 Return a 2D array representing any matrix that fulfills the requirements. It's guaranteed that atleast one matrix that fulfills the requirements exists.Example 1:
 Input: rowSum = [3,8], colSum = [4,7]Output: [[3,0],[1,7]]Explanation:0th row: 3 + 0 = 0 == rowSum[0]1st row: 1 + 7 = 8 == rowSum[1]0th column: 3 + 1 = 4 == colSum[0]1st column: 0 + 7 = 7 == colSum[1]The row and column sums match, and all matrix elements are non-negative.Another possible matrix is: [[1,2],[3,5]]Example 2:
 Input: rowSum = [5,7,10], colSum = [8,6,8]Output: [[0,5,0],[6,1,0],[2,0,8]]Example 3:
 Input: rowSum = [14,9], colSum = [6,9,8]Output: [[0,9,5],[6,0,3]]Example 4:
 Input: rowSum = [1,0], colSum = [1]Output: [[1],[0]]Example 5:
 Input: rowSum = [0], colSum = [0]Output: [[0]]",0
138,FindXorSumOfAllPairsBitwiseAnd,"The XOR sum of a list is the bitwise XOR of all its elements. If the list only contains oneelement, then its XOR sum will be equal to this element.
 For example, the XOR sum of [1,2,3,4] is equal to 1 XOR 2 XOR 3 XOR 4 = 4, and the XOR sumof [3] is equal to 3.
 You are given two 0-indexed arrays arr1 and arr2 that consist only of non-negative integers.
 Consider the list containing the result of arr1[i] AND arr2[j] (bitwise AND) for every (i, j) pairwhere 0 <= i < arr1.length and 0 <= j < arr2.length.
 Return the XOR sum of the aforementioned list.
 Example 1:
 Input: arr1 = [1,2,3], arr2 = [6,5]Output: 0Explanation: The list = [1 AND 6, 1 AND 5, 2 AND 6, 2 AND 5, 3 AND 6, 3 AND 5] = [0,1,2,0,2,1].The XOR sum = 0 XOR 1 XOR 2 XOR 0 XOR 2 XOR 1 = 0.
 Example 2:
 Input: arr1 = [12], arr2 = [4]Output: 4Explanation: The list = [12 AND 4] = [4]. The XOR sum = 4.
 Constraints:
 1 <= arr1.length, arr2.length <= 10^50 <= arr1[i], arr2[j] <= 10^9",0
139,FirstBadVersion,"You are a product manager and currently leading a team to develop a new product.Unfortunately, the latest version of your product fails the quality check. Sinceeach version is developed based on the previous version, all the versions after abad version are also bad.
 Suppose you have n versions [1, 2, ..., n] and you want to find out the first badone, which causes all the following ones to be bad.
 You are given an API bool isBadVersion(version) which will return whether version isbad. Implement a function to find the first bad version. You should minimize thenumber of calls to the API.
 Credits:Special thanks to @jianchao.li.fighter for adding this problem and creatingall test cases.",0
140,firstMissingPositive,"Given an unsorted integer array, find the first missing positive integer.
 For example,Given [1,2,0] return 3,and [3,4,-1,1] return 2.
 Your algorithm should run in O(n) time and uses constant space.",2
141,FirstUniqueCharacterInAString,"Given a string, find the first non-repeating character in it and return it's index.If it doesn't exist, return -1.
 Examples:
 s = ""leetcode""return 0.
 s = ""loveleetcode"",return 2.
 Note: You may assume the string contain only lowercase letters.",0
142,flattenBinaryTreeToLinkedList,"Given a binary tree, flatten it to a linked list in-place.
 For example,Given
 1/ \2 5/ \ \3 4 6
 The flattened tree should look like:
 1\2\3\4\5\6
 
 Hints:If you notice carefully in the flattened tree, each node's right child points tothe next node of a pre-order traversal.",0
143,FlattenNestedListIterator,"Given a nested list of integers, implement an iterator to flatten it.
 Each element is either an integer, or a list -- whose elements may also be integersor other lists.
 Example 1:Given the list [[1,1],2,[1,1]],
 By calling next repeatedly until hasNext returns false, the order of elementsreturned by next should be: [1,1,2,1,1].
 Example 2:Given the list [1,[4,[6]]],
 By calling next repeatedly until hasNext returns false, the order of elementsreturned by next should be: [1,4,6].",0
144,FormArrayByConcatenatingSubarraysOfAnotherArray,"You are given a 2D integer array groups of length n. You are also given an integer array nums.
 You are asked if you can choose n disjoint subarrays from the array nums such that the i^thsubarray is equal to groups[i] (0-indexed), and if i > 0, the (i-1)^th subarray appears before thei^th subarray in nums (i.e. the subarrays must be in the same order as groups).
 Return true if you can do this task, and false otherwise.
 Note that the subarrays are disjoint if and only if there is no index k such that nums[k] belongsto more than one subarray. A subarray is a contiguous sequence of elements within an array.
 Example 1:
 Input: groups = [[1,-1,-1],[3,-2,0]], nums = [1,-1,0,1,-1,-1,3,-2,0]Output: trueExplanation: You can choose the 0^th subarray as [1,-1,0,1,-1,-1,3,-2,0] and the 1^st one as[1,-1,0,1,-1,-1,3,-2,0].These subarrays are disjoint as they share no common nums[k] element.
 Example 2:
 Input: groups = [[10,-2],[1,2,3,4]], nums = [1,2,3,4,10,-2]Output: falseExplanation: Note that choosing the subarrays [1,2,3,4,10,-2] and [1,2,3,4,10,-2] is incorrectbecause they are not in the same order as in groups.[10,-2] must come before [1,2,3,4].
 Example 3:
 Input: groups = [[1,2,3],[3,4]], nums = [7,7,1,2,3,4,7,7]Output: falseExplanation: Note that choosing the subarrays [7,7,1,2,3,4,7,7] and [7,7,1,2,3,4,7,7] is invalidbecause they are not disjoint.They share a common elements nums[4] (0-indexed).
 Constraints:
 groups.length == n1 <= n <= 10^31 <= groups[i].length, sum(groups[i].length) <= 10^31 <= nums.length <= 10^3-10^7 <= groups[i][j], nums[k] <= 10^7",2
145,fractionToRecurringDecimal,"Given two integers representing the numerator and denominator of a fraction, return the fraction in string format.
 If the fractional part is repeating, enclose the repeating part in parentheses.
 For example,
 Given numerator = 1, denominator = 2, return ""0.5"".Given numerator = 2, denominator = 1, return ""2"".Given numerator = 2, denominator = 3, return ""0.(6)"".
 Credits:Special thanks to @Shangrila for adding this problem and creating all test cases.",2
146,FrequencyOfTheMostFrequentElement,"The frequency of an element is the number of times it occurs in an array.
 You are given an integer array nums and an integer k. In one operation, you can choose an index ofnums and increment the element at that index by 1.
 Return the maximum possible frequency of an element after performing at most k operations.
 Example 1:
 Input: nums = [1,2,4], k = 5Output: 3Explanation: Increment the first element three times and the second element two times to make nums= [4,4,4].4 has a frequency of 3.
 Example 2:
 Input: nums = [1,4,8,13], k = 5Output: 2Explanation: There are multiple optimal solutions:- Increment the first element three times to make nums = [4,4,8,13]. 4 has a frequency of 2.- Increment the second element four times to make nums = [1,8,8,13]. 8 has a frequency of 2.- Increment the third element five times to make nums = [1,4,13,13]. 13 has a frequency of 2.
 Example 3:
 Input: nums = [3,9,6], k = 2Output: 1
 Constraints:
 1 <= nums.length <= 10^51 <= nums[i] <= 10^51 <= k <= 10^5",0
147,FriendCircles,"There are N students in a class. Some of them are friends, while some are not. Their friendship istransitive in nature. For example, if A is a direct friend of B, and B is a direct friend of C,then A is an indirect friend of C. And we defined a friend circle is a group of students who aredirect or indirect friends.
 Given a N*N matrix M representing the friend relationship between students in the class. If M[i][j]= 1, then the ith and jth students are direct friends with each other, otherwise not. And you haveto output the total number of friend circles among all the students.
 Example 1:
 Input:[[1,1,0],[1,1,0],[0,0,1]]Output: 2Explanation:The 0th and 1st students are direct friends, so they are in a friend circle. The 2ndstudent himself is in a friend circle. So return 2.
 Example 2:
 Input:[[1,1,0],[1,1,1],[0,1,1]]Output: 1Explanation:The 0th and 1st students are direct friends, the 1st and 2nd students are directfriends, so the 0th and 2nd students are indirect friends. All of them are in the same friendcircle, so return 1.
 Note:
 N is in range [1,200].M[i][i] = 1 for all students.If M[i][j] = 1, then M[j][i] = 1.",2
148,FrogJump,"A frog is crossing a river. The river is divided into x units and at each unit theremay or may not exist a stone. The frog can jump on a stone, but it must not jumpinto the water.
 Given a list of stones' positions (in units) in sorted ascending order, determine ifthe frog is able to cross the river by landing on the last stone. Initially, thefrog is on the first stone and assume the first jump must be 1 unit.
 If the frog's last jump was k units, then its next jump must be either k - 1, k, ork + 1 units. Note that the frog can only jump in the forward direction.
 Note:
 The number of stones is â‰¥ 2 and isEach stone's position will be a non-negative integer 31.The first stone's position is always 0.
 Example 1:
 [0,1,3,5,6,8,12,17]
 There are a total of 8 stones.The first stone at the 0th unit, second stone at the 1st unit,third stone at the 3rd unit, and so on...The last stone at the 17th unit.
 Return true. The frog can jump to the last stone by jumping1 unit to the 2nd stone, then 2 units to the 3rd stone, then2 units to the 4th stone, then 3 units to the 6th stone,4 units to the 7th stone, and 5 units to the 8th stone.
 Example 2:
 [0,1,2,3,4,8,9,11]
 Return false. There is no way to jump to the last stone asthe gap between the 5th and 6th stone is too large.",2
149,GameOfLife,"According to the Wikipedia's article: ""The Game of Life, also known simply as Life, is a cellularautomaton devised by the British mathematician John Horton Conway in 1970.""
 Given a board with m by n cells, each cell has an initial state live (1) or dead (0). Each cellinteracts with its eight neighbors (horizontal, vertical, diagonal) using the following four rules(taken from the above Wikipedia article):
 Any live cell with fewer than two live neighbors dies, as if caused by under-population.Any live cell with two or three live neighbors lives on to the next generation.Any live cell with more than three live neighbors dies, as if by over-population..Any dead cell with exactly three live neighbors becomes a live cell, as if by reproduction.
 Write a function to compute the next state (after one update) of the board given its current state.The next state is created by applying the above rules simultaneously to every cell in the currentstate, where births and deaths occur simultaneously.
 Example:
 Input:[[0,1,0],[0,0,1],[1,1,1],[0,0,0]]Output:[[0,0,0],[1,0,1],[0,1,1],[0,1,0]]
 Follow up:
 Could you solve it in-place? Remember that the board needs to be updated at the same time:You cannot update some cells first and then use their updated values to update other cells.In this question, we represent the board using a 2D array. In principle, the board isinfinite, which would cause problems when the active area encroaches the border of the array. Howwould you address these problems?",0
150,gasStation,"There are N gas stations along a circular route, where the amount of gas at station i is gas[i].
 You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from station i toits next station (i+1). You begin the journey with an empty tank at one of the gas stations.
 Return the starting gas station's index if you can travel around the circuit once, otherwise return -1.
 Note:The solution is guaranteed to be unique.",0
151,generateParentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.
 For example, given n = 3, a solution set is:
 ""((()))"", ""(()())"", ""(())()"", ""()(())"", ""()()()""",0
152,grayCode,"The gray code is a binary numeral system where two successive values differ in only one bit.
 Given a non-negative integer n representing the total number of bits in the code,print the sequence of gray code. A gray code sequence must begin with 0.
 For example, given n = 2, return [0,1,3,2]. Its gray code sequence is:
 00 - 001 - 111 - 310 - 2
 Note:For a given n, a gray code sequence is not uniquely defined.
 For example, [0,2,3,1] is also a valid gray code sequence according to the above definition.
 For now, the judge is able to judge based on one instance of gray code sequence. Sorry about that.",2
153,GreatestCommonDivisorOfStrings,"For strings S and T, we say ""T divides S"" if and only if S = T + ... + T (T concatenated withitself 1 or more times)
 Return the largest string X such that X divides str1 and X divides str2.
 Example 1:
 Input: str1 = ""ABCABC"", str2 = ""ABC""Output: ""ABC""
 Example 2:
 Input: str1 = ""ABABAB"", str2 = ""ABAB""Output: ""AB""
 Example 3:
 Input: str1 = ""LEET"", str2 = ""CODE""Output: """"
 Note:
 1 <= str1.length <= 10001 <= str2.length <= 1000str1[i] and str2[i] are English uppercase letters.",0
154,h-Index,"Given an array of citations (each citation is a non-negative integer) of aresearcher, write a function to compute the researcher's h-index.
 According to the definition of h-index on Wikipedia: ""A scientist has index h if h ofhis/her N papers have at least h citations each, and the other N âˆ’ h papers have nomore than h citations each.""
 For example, given citations = [3, 0, 6, 1, 5], which means the researcher has 5papers in total and each of them had received 3, 0, 6, 1, 5 citations respectively.Since the researcher has 3 papers with at least 3 citations each and the remainingtwo with no more than 3 citations each, his h-index is 3.
 Note: If there are several possible values for h, the maximum one is taken as theh-index.",0
155,h-Index.II,Follow up for H-Index: What if the citations array is sorted in ascending order?Could you optimize your algorithm?,0
156,HappyNumber,"Write an algorithm to determine if a number is ""happy"".
 A happy number is a number defined by the following process: Starting with any positive integer,replace the number by the sum of the squares of its digits, and repeat the process until the number equals 1(where it will stay), or it loops endlessly in a cycle which does not include 1. Those numbers for which thisprocess ends in 1 are happy numbers.
 Example:Â 19 is a happy number
 1^2 + 9^2 = 828^2 + 2^2 = 686^2 + 8^2 = 1001^2 + 0^2 + 0^2 = 1
 Credits:Special thanks to @mithmatt and @ts for adding this problem and creating all test cases.",0
157,houseRobber,"You are a professional robber planning to rob houses along a street. Each house hasa certain amount of money stashed, the only constraint stopping you from robbingeach of them is that adjacent houses have security system connected and it willautomatically contact the police if two adjacent houses were broken into on the same night.
 Given a list of non-negative integers representing the amount of money of each house,determine the maximum amount of money you can rob tonight without alerting the police.",0
158,houseRobber.II,"Note: This is an extension of House Robber.
 After robbing those houses on that street, the thief has found himself a new placefor his thievery so that he will not get too much attention. This time, all housesat this place are arranged in a circle. That means the first house is the neighborof the last one. Meanwhile, the security system for these houses remain the same asfor those in the previous street.
 Given a list of non-negative integers representing the amount of money of each house,determine the maximum amount of money you can rob tonight without alerting the police.
 Credits:Special thanks to @Freezen for adding this problem and creating all test cases.",0
159,houseRobberIII,"The thief has found himself a new place for his thievery again. There is only oneentrance to this area, called the ""root."" Besides the root, each house has one andonly one parent house. After a tour, the smart thief realized that ""all houses inthis place forms a binary tree"". It will automatically contact the police if twodirectly-linked houses were broken into on the same night.
 Determine the maximum amount of money the thief can rob tonight without alerting thepolice.
 Example 1:3/ \2 3\ \3 1Maximum amount of money the thief can rob = 3 + 3 + 1 = 7.Example 2:3/ \4 5/ \ \1 3 1Maximum amount of money the thief can rob = 4 + 5 = 9.Credits:Special thanks to @dietpepsi for adding this problem and creating all test cases.",2
160,ImplementQueueUsingStacks,"Implement the following operations of a queue using stacks.
 push(x) -- Push element x to the back of queue.
 pop() -- Removes the element from in front of queue.
 peek() -- Get the front element.
 empty() -- Return whether the queue is empty.
 Notes:
 You must use only standard operations of a stack -- which means only push to top,peek/pop from top, size, and is empty operations are valid.",0
161,ImplementStackUsingQueues,"Implement the following operations of a stack using queues.
 push(x) -- Push element x onto stack.
 pop() -- Removes the element on top of the stack.
 top() -- Get the top element.
 empty() -- Return whether the stack is empty.
 Notes:
 You must use only standard operations of a queue -- which means only push to back,peek/pop from front, size, and is empty operations are valid.
 Depending on your language, queue may not be supported natively. You may simulatea queue by using a list or deque (double-ended queue), as long as you use onlystandard operations of a queue.
 You may assume that all operations are valid (for example, no pop or top operationswill be called on an empty stack).
 Update (2015-06-11):The class name of the Java function had been updated to MyStack instead of Stack.
 Credits:Special thanks to @jianchao.li.fighter for adding this problem and all test cases.",0
162,ImplementTriePrefixTree,"Implement a trie with insert, search, and startsWith methods.
 Note:You may assume that all inputs are consist of lowercase letters a-z.",0
163,increasingTripletSubsequence,"Given an unsorted array return whether an increasing subsequence of length 3 existsor not in the array.
 Formally the function should:Return true if there exists i, j, ksuch that arr[i] < arr[j] < arr[k] given 0 â‰¤ i < j < k â‰¤ n-1 else return false.Your algorithm should run in O(n) time complexity and O(1) space complexity.
 Examples:Given [1, 2, 3, 4, 5],return true.
 Given [5, 4, 3, 2, 1],return false.",0
164,IncrementalMemoryLeak,"You are given two integers memory1 and memory2 representing the available memory in bits on twomemory sticks. There is currently a faulty program running that consumes an increasing amount ofmemory every second.
 At the i^th second (starting from 1), i bits of memory are allocated to the stick with moreavailable memory (or from the first memory stick if both have the same available memory). Ifneither stick has at least i bits of available memory, the program crashes.
 Return an array containing [crashTime, memory1crash, memory2crash], where crashTime is the time (inseconds) when the program crashed and memory1crash and memory2crash are the available bits ofmemory in the first and second sticks respectively.
 Example 1:
 Input: memory1 = 2, memory2 = 2Output: [3,1,0]Explanation: The memory is allocated as follows:- At the 1^st second, 1 bit of memory is allocated to stick 1. The first stick now has 1 bit ofavailable memory.- At the 2^nd second, 2 bits of memory are allocated to stick 2. The second stick now has 0 bits ofavailable memory.- At the 3^rd second, the program crashes. The sticks have 1 and 0 bits available respectively.
 Example 2:
 Input: memory1 = 8, memory2 = 11Output: [6,0,4]Explanation: The memory is allocated as follows:- At the 1^st second, 1 bit of memory is allocated to stick 2. The second stick now has 10 bit ofavailable memory.- At the 2^nd second, 2 bits of memory are allocated to stick 2. The second stick now has 8 bits ofavailable memory.- At the 3^rd second, 3 bits of memory are allocated to stick 1. The first stick now has 5 bits ofavailable memory.- At the 4^th second, 4 bits of memory are allocated to stick 2. The second stick now has 4 bits ofavailable memory.- At the 5^th second, 5 bits of memory are allocated to stick 1. The first stick now has 0 bits ofavailable memory.- At the 6^th second, the program crashes. The sticks have 0 and 4 bits available respectively.
 Constraints:
 0 <= memory1, memory2 <= 2^31 - 1",0
165,InsertDeleteGetrandomO1,"Design a data structure that supports all following operations in average O(1) time.
 insert(val): Inserts an item val to the set if not already present.remove(val): Removes an item val from the set if present.getRandom: Returns a random element from current set of elements. Each element musthave the same probability of being returned.
 Example:
 // Init an empty set.RandomizedSet randomSet = new RandomizedSet();
 // Inserts 1 to the set. Returns true as 1 was inserted successfully.randomSet.insert(1);
 // Returns false as 2 does not exist in the set.randomSet.remove(2);
 // Inserts 2 to the set, returns true. Set now contains [1,2].randomSet.insert(2);
 // getRandom should return either 1 or 2 randomly.randomSet.getRandom();
 // Removes 1 from the set, returns true. Set now contains [2].randomSet.remove(1);
 // 2 was already in the set, so return false.randomSet.insert(2);
 // Since 1 is the only number in the set, getRandom always return 1.randomSet.getRandom();",0
166,InsertDeleteGetrandomO1DuplicatesAllowed,"Design a data structure that supports all following operations in average O(1) time.Note: Duplicate elements are allowed.
 insert(val): Inserts an item val to the collection.remove(val): Removes an item val from the collection if present.getRandom: Returns a random element from current collection of elements. Theprobability of each element being returned is linearly related to the number of samevalue the collection contains.
 Example:
 // Init an empty collection.RandomizedCollection collection = new RandomizedCollection();
 // Inserts 1 to the collection. Returns true as the collection did not contain 1.collection.insert(1);
 // Inserts another 1 to the collection. Returns false as the collection contained 1.Collection now contains [1,1].collection.insert(1);
 // Inserts 2 to the collection, returns true. Collection now contains [1,1,2].collection.insert(2);
 // getRandom should return 1 with the probability 2/3, and returns 2 with theprobability 1/3.collection.getRandom();
 // Removes 1 from the collection, returns true. Collection now contains [1,2].collection.remove(1);
 // getRandom should return 1 and 2 both equally likely.collection.getRandom();",2
167,insertInterval,"Given a set of non-overlapping intervals, insert a new interval into the intervals (merge if necessary).
 You may assume that the intervals were initially sorted according to their start times.
 Example 1:Given intervals [1,3],[6,9], insert and merge [2,5] in as [1,5],[6,9].
 Example 2:Given [1,2],[3,5],[6,7],[8,10],[12,16], insert and merge [4,9] in as [1,2],[3,10],[12,16].
 This is because the new interval [4,9] overlaps with [3,5],[6,7],[8,10].",0
168,insertionSortList,Sort a linked list using insertion sort.,0
169,IntegerBreak,"Given a positive integer n, break it into the sum of at least two positive integersand maximize the product of those integers. Return the maximum product you can get.
 For example, given n = 2, return 1 (2 = 1 + 1); given n = 10, return 36 (10 = 3 + 3+ 4).
 Note: you may assume that n is not less than 2.
 There is a simple O(n) solution to this problem.You may check the breaking results of n ranging from 7 to 10 to discover theregularities.
 Credits:Special thanks to @jianchao.li.fighter for adding this problem and creatingall test cases.",0
170,IntegerReplacement,"Given a positive integer n and you can do operations as follow:
 If n is even, replace n with n/2.If n is odd, you can replace n with either n + 1 or n - 1.
 What is the minimum number of replacements needed for n to become 1?
 Example 1:
 Input:8
 Output:3
 Explanation:8 -> 4 -> 2 -> 1
 Example 2:
 Input:7
 Output:4
 Explanation:7 -> 8 -> 4 -> 2 -> 1or7 -> 6 -> 3 -> 2 -> 1",0
171,IntegerToEnglishWords,"Convert a non-negative integer to its english words representation. Given input isguaranteed to be less than 231 - 1.
 For example,
 123 -> ""One Hundred Twenty Three""12345 -> ""Twelve Thousand Three Hundred Forty Five""1234567 -> ""One Million Two Hundred Thirty Four Thousand Five Hundred Sixty Seven""
 Did you see a pattern in dividing the number into chunk of words? For example, 123and 123000.
 Group the number by thousands (3 digits). You can write a helper function thattakes a number less than 1000 and convert just that chunk to words.
 There are many edge cases. What are some good test cases? Does your code work withinput such as 0? Or 1000010? (middle chunk is zero and should not be printed out)",2
172,integerToRoman,"Given an integer, convert it to a roman numeral.
 Input is guaranteed to be within the range from 1 to 3999.",0
173,interleavingString,"Given s1, s2, s3, find whether s3 is formed by the interleaving of s1 and s2.
 For example,Given:s1 = ""aabcc"",s2 = ""dbbca"",
 When s3 = ""aadbbcbcac"", return true.When s3 = ""aadbbbaccc"", return false.",2
174,intersectionOfTwoArrays,"Given two arrays, write a function to compute their intersection.
 Example:Given nums1 = [1, 2, 2, 1], nums2 = [2, 2], return [2].
 Note:Each element in the result must be unique.The result can be in any order.",0
175,intersectionOfTwoArraysII,"Given two arrays, write a function to compute their intersection.
 Example:Given nums1 = [1, 2, 2, 1], nums2 = [2, 2], return [2, 2].
 Note:Each element in the result should appear as many times as it shows in both arrays.The result can be in any order.
 Follow up:What if the given array is already sorted? How would you optimize your algorithm?What if nums1's size is small compared to num2's size? Which algorithm is better?What if elements of nums2 are stored on disk, and the memory is limited such that youcannot load all elements into the memory at once?",0
176,intersectionOfTwoLinkedLists,"Write a program to find the node at which the intersection of two singly linked lists begins.
 For example, the following two linked lists:
 
 A: a1 â†’ a2â†˜c1 â†’ c2 â†’ c3â†—B: b1 â†’ b2 â†’ b3
 begin to intersect at node c1.
 Notes:
 If the two linked lists have no intersection at all, return null.The linked lists must retain their original structure after the function returns.You may assume there are no cycles anywhere in the entire linked structure.Your code should preferably run in O(n) time and use only O(1) memory.",0
177,IntervalListIntersections,"Given two lists of closed intervals, each list of intervals is pairwise disjoint and in sortedorder.
 Return the intersection of these two interval lists.
 (Formally, a closed interval [a, b] (with a <= b) denotes the set of real numbers x with a <= x <=b. The intersection of two closed intervals is a set of real numbers that is either empty, or canbe represented as a closed interval. For example, the intersection of [1, 3] and [2, 4] is [2, 3].)
 Example 1:
 0 2 5 10 13 23 24 25A +---+ +-------+ +-------------+ +--+
 1 5 8 12 15 24 25 26B +------+ +------+ +----------+ +--+
 1 2 5 8 10 15 23 24 25Ans ++ + +--+ +--------+ + +
 
 Input: A = [[0,2],[5,10],[13,23],[24,25]], B = [[1,5],[8,12],[15,24],[25,26]]Output: [[1,2],[5,5],[8,10],[15,23],[24,24],[25,25]]Reminder: The inputs and the desired output are lists of Interval objects, and not arrays or lists.
 Note:
 0 <= A.length < 10000 <= B.length < 10000 <= A[i].start, A[i].end, B[i].start, B[i].end < 109",0
178,InvertBinaryTree,"Invert a binary tree.4/ \2 7/ \ / \1 3 6 9
 to4/ \7 2/ \ / \9 6 3 1
 Trivia:This problem was inspired by this original tweet by Max Howell:(https://twitter.com/mxcl/status/608682016205344768)
 | Google: 90% of our engineers use the software you wrote (Homebrew),| but you canâ€™t invert a binary tree on a whiteboard so fuck off.",0
179,IslandPerimeter,"You are given a map in form of a two-dimensional integer grid where 1 represents land and 0represents water.
 Grid cells are connected horizontally/vertically (not diagonally). The grid is completelysurrounded by water, and there is exactly one island (i.e., one or more connected land cells).
 The island doesn't have ""lakes"" (water inside that isn't connected to the water around the island).One cell is a square with side length 1. The grid is rectangular, width and height don't exceed100. Determine the perimeter of the island.
 Example:
 Input:[[0,1,0,0],[1,1,1,0],[0,1,0,0],[1,1,0,0]]
 Output: 16
 Explanation: The perimeter is the 16 yellow stripes in the image below:",0
180,IsomorphicStrings,"Given two strings s and t, determine if they are isomorphic.
 Two strings are isomorphic if the characters in s can be replaced to get t.
 All occurrences of a character must be replaced with another character while preservingthe order of characters. No two characters may map to the same character but a charactermay map to itself.
 For example,
 Given ""egg"", ""add"", return true.
 Given ""foo"", ""bar"", return false.
 Given ""paper"", ""title"", return true.
 Note:You may assume both s and t have the same length.",0
181,IsSubsequence,"Given a string s and a string t, check if s is subsequence of t.
 You may assume that there is only lower case English letters in both s and t. t ispotentially a very long (length ~= 500,000) string, and s is a short string (
 A subsequence of a string is a new string which is formed from the original stringby deleting some (can be none) of the characters without disturbing the relativepositions of the remaining characters. (ie, ""ace"" is a subsequence of ""abcde"" while""aec"" is not).
 Example 1:s = ""abc"", t = ""ahbgdc""
 Return true.
 Example 2:s = ""axc"", t = ""ahbgdc""
 Return false.
 Follow up:If there are lots of incoming S, say S1, S2, ... , Sk where k >= 1B, and you want tocheck one by one to see if T has its subsequence. In this scenario, how would youchange your code?",0
182,JewelsAndStones,"You're given strings J representing the types of stones that are jewels, and Srepresenting the stones you have. Each character in S is a type of stone you have.You want to know how many of the stones you have are also jewels.
 The letters in J are guaranteed distinct, and all characters in J and S are letters.Letters are case sensitive, so ""a"" is considered a different type of stone from ""A"".
 Example 1:
 
 Input: J = ""aA"", S = ""aAAbbbb""Output: 3
 
 Example 2:
 
 Input: J = ""z"", S = ""ZZ""Output: 0
 
 Note:
 
 S and J will consist of letters and have length at most 50.The characters in J are distinct.",0
183,jumpGame,"Given an array of non-negative integers, you are initially positioned at the first index of the array.
 Each element in the array represents your maximum jump length at that position.
 Determine if you are able to reach the last index.
 For example:A = [2,3,1,1,4], return true.
 A = [3,2,1,0,4], return false.",0
184,jumpGame.II,"Given an array of non-negative integers, you are initially positioned at the first index of the array.
 Each element in the array represents your maximum jump length at that position.
 Your goal is to reach the last index in the minimum number of jumps.
 For example:Given array A = [2,3,1,1,4]
 The minimum number of jumps to reach the last index is 2.(Jump 1 step from index 0 to 1, then 3 steps to the last index.)",0
185,KthLargestElementInAnArray,"Find the kth largest element in an unsorted array.Note that it is the kth largest element in the sorted order, not the kth distinct element.
 For example,Given [3,2,1,5,6,4] and k = 2, return 5.
 Note:You may assume k is always valid, 1 â‰¤ k â‰¤ array's length.
 Credits:Special thanks to @mithmatt for adding this problem and creating all test cases.",0
186,KthSmallestElementInABst,"Given a binary search tree, write a function kthSmallest to find the kth smallest element in it.
 Note:You may assume k is always valid, 1 â‰¤ k â‰¤ BST's total elements.
 Follow up:What if the BST is modified (insert/delete operations) often and you need to find the kth smallest frequently?How would you optimize the kthSmallest routine?
 Try to utilize the property of a BST.What if you could modify the BST node's structure?The optimal runtime complexity is O(height of BST).
 Credits:Special thanks to @ts for adding this problem and creating all test cases.",0
